callid,CompanyNo,ServiceStatus,ServiceType,ServiceLevel,Severity,ItemOEM,ItemModel,ItemAssetType
29005,CR00145-01,E,Hardware,T/M,High,IMAC,LABOR,IMAC
29008,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29011,CR01400,E,Hardware,T/M,High,DELL,R710,Server
29015,C01872,E,Hardware,T/M,Medium,HP,DL320E G8,Server
29017,CR00145-01,E,Hardware,T/M,Medium,APC,SURT6000RMXLT3U,UPS
29018,CR00145-01,C,Hardware,HW-Premium ,Medium,IBM,7978-B4U,Server
29020,CR00654,C,Hardware,HW-Basic ,Medium,DELL,T610,Server
29023,C01841,C,Hardware,HW-Premium ,High,DELL,PE 2950,Server
29025,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29025,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29025,C00510,C,Hardware,HW-Basic ,Medium,DELL,P490,Workstation
29027,CR00145-01,E,Hardware,T/M,High,IMAC,LABOR,IMAC
29027,CR00145-01,E,Hardware,T/M,High,IMAC,LABOR,IMAC
29029,CR01400,E,Hardware,T/M,Medium,DELL,R720,Server
29035,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29037,CR00145-01,E,Hardware,T/M,IMAC,IMAC,LABOR,IMAC
29038,C01841,C,Hardware,HW-Premium ,Medium,HP,DL380 G6,Server
29043,CR00654,C,Hardware,HW-Premium ,Medium,HP,DL380,Server
29055,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29055,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29055,CR00145-01,C,Hardware,HW-Premium ,Medium,DELL,PS6500E,Storage
29064,CR00145-01,C,Hardware,HW-Premium ,Critical,IBM,2072-L2C,Storage
29064,CR00145-01,C,Hardware,HW-Premium ,Critical,IBM,2072-L2C,Storage
29065,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
29065,C01872,C,Hardware,HW-Premium8Hr,High,DELL,MD1200,Storage
